square_footage,location,price
1710,Suburb,208500
1262,Rural,181500
1786,Suburb,223500
1717,Downtown,140000
2198,Suburb,250000
1362,Rural,143000
1694,Suburb,307000
2090,Suburb,200000
1774,Downtown,129900
1077,Downtown,118000
1040,Rural,129500
2324,Suburb,345000
912,Rural,144000
1494,Suburb,279500
1253,Suburb,157000
854,Downtown,132000
1004,Suburb,149000
1296,Rural,90000
1114,Rural,159000
1339,Suburb,139000
2376,Suburb,325300
1108,Downtown,139400
1795,Suburb,230000
1060,Suburb,129900
1060,Rural,154000
1600,Suburb,256300
900,Suburb,134800
1704,Suburb,306000
1600,Suburb,207500
520,Downtown,68500
1317,Downtown,40000
1228,Rural,149350
1234,Suburb,179900
1700,Suburb,165500
1561,Suburb,277500
2452,Suburb,309000
1097,Suburb,145000
1297,Suburb,153000
1057,Suburb,109000
1152,Downtown,82000
1324,Suburb,160000
1328,Rural,170000
884,Rural,144000
938,Suburb,130250
1150,Suburb,141000
1752,Suburb,319900
2149,Rural,239686
1656,Suburb,249700
1452,Downtown,113000
955,Rural,127000
1470,Suburb,177000
1176,Downtown,114500
816,Downtown,110000
1842,Rural,385000
1360,Suburb,130000
1425,Suburb,180500
1739,Suburb,172500
1720,Suburb,196500
2945,Suburb,438780
780,Suburb,124900
1158,Rural,158000
1111,Downtown,101000
1370,Suburb,202500
1710,Downtown,140000
2034,Suburb,219500
2473,Suburb,317000
2207,Suburb,180000
1479,Suburb,226000
747,Downtown,80000
2287,Rural,225000
2223,Suburb,244000
845,Rural,129500
1718,Suburb,185000
1086,Suburb,144900
1605,Downtown,107400
988,Suburb,91000
952,Suburb,135750
1285,Downtown,127000
1768,Rural,136500
1230,Downtown,110000
2142,Suburb,193500
1337,Rural,153500
1563,Suburb,245000
1065,Suburb,126500
1474,Suburb,168500
2417,Suburb,260000
1560,Suburb,174000
1224,Suburb,164500
1526,Downtown,85000
990,Suburb,123600
1040,Suburb,109900
1235,Suburb,98600
964,Downtown,163500
2291,Downtown,133900
1786,Suburb,204750
1470,Suburb,185000
1588,Suburb,214000
960,Downtown,94750
835,Downtown,83000
1225,Suburb,128950
1610,Suburb,205000
1732,Rural,178000
1535,Rural,118964
1226,Suburb,198900
1818,Downtown,169500
1992,Suburb,250000
1047,Downtown,100000
789,Downtown,115000
1517,Downtown,115000
1844,Suburb,190000
1855,Downtown,136900
1430,Suburb,180000
2696,Suburb,383970
2259,Downtown,217000
2320,Downtown,259500
1458,Suburb,176000
1092,Rural,139000
1125,Downtown,155000
3222,Rural,320000
1456,Suburb,163990
988,Rural,180000
1123,Downtown,100000
1080,Suburb,136000
1199,Rural,153900
1586,Suburb,181000
754,Downtown,84500
958,Suburb,128000
840,Downtown,87000
1348,Suburb,155000
1053,Suburb,150000
2157,Suburb,226000
2054,Suburb,244000
1327,Suburb,150750
1296,Rural,220000
1721,Rural,180000
1682,Suburb,174000
1214,Suburb,143000
1959,Rural,171000
1852,Suburb,230000
1764,Suburb,231500
864,Suburb,115000
1734,Suburb,260000
1385,Suburb,166000
1501,Suburb,204000
1728,Rural,125000
1709,Downtown,130000
875,Downtown,105000
2035,Suburb,222500
1080,Rural,141000
1344,Downtown,115000
969,Suburb,122000
1710,Suburb,372402
1993,Suburb,190000
1252,Rural,235000
1200,Downtown,125000
1096,Downtown,79000
1040,Suburb,109500
1968,Rural,269500
1947,Suburb,254900
2462,Suburb,320000
1232,Rural,162500
2668,Suburb,412500
1541,Suburb,220000
882,Downtown,103200
1616,Downtown,152000
1355,Downtown,127500
1867,Rural,190000
2161,Suburb,325624
1720,Suburb,183500
1707,Rural,228000
1382,Downtown,128500
1656,Suburb,215000
1767,Suburb,239000
1362,Suburb,163000
1651,Rural,184000
2158,Downtown,243000
2060,Rural,211000
1920,Rural,172500
2234,Suburb,501837
968,Downtown,100000
1525,Suburb,177000
1802,Downtown,200100
1340,Downtown,120000
2082,Downtown,200000
1252,Downtown,127000
3608,Downtown,475000
1217,Rural,173000
